index,team,round_id,points,goals_scored,goals_conceded,round_num,total_points,avg_points_last_5,avg_points_last_10,avg_goals_scored_last_5,avg_goals_scored_last_10,avg_goals_conceded_last_5,avg_goals_conceded_last_10,displayName,num_rounds_left,proj_points_avg_last_5,proj_points_avg_last_10,goal_diff_game,goal_diff,rank,rank_proj5,rank_proj10
36,Bellinzona,4693-172-160,3,1.0,0.0,1,3,3.0,3.0,1.0,1.0,0.0,0.0,1. Runde,35,108.0,108.0,1.0,1.0,2,2,2
324,FC Aarau,4693-172-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,5,5,5
144,FC Lausanne-Sport,4693-172-160,0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1. Runde,35,0.0,0.0,-1.0,-1.0,7,7,7
252,FC Schaffhausen,4693-172-160,3,1.0,0.0,1,3,3.0,3.0,1.0,1.0,0.0,0.0,1. Runde,35,108.0,108.0,1.0,1.0,3,3,3
180,FC Stade-Lausanne-Ouchy,4693-172-160,0,1.0,2.0,1,0,0.0,0.0,1.0,1.0,2.0,2.0,1. Runde,35,0.0,0.0,-1.0,-1.0,8,8,8
0,FC Thun,4693-172-160,0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1. Runde,35,0.0,0.0,-1.0,-1.0,9,9,9
216,FC Vaduz,4693-172-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,6,6,6
108,FC Wil 1900,4693-172-160,3,2.0,0.0,1,3,3.0,3.0,2.0,2.0,0.0,0.0,1. Runde,35,108.0,108.0,2.0,2.0,1,1,1
72,Neuchâtel Xamax FCS,4693-172-160,0,0.0,2.0,1,0,0.0,0.0,0.0,0.0,2.0,2.0,1. Runde,35,0.0,0.0,-2.0,-2.0,10,10,10
288,Yverdon Sport FC,4693-172-160,3,2.0,1.0,1,3,3.0,3.0,2.0,2.0,1.0,1.0,1. Runde,35,108.0,108.0,1.0,1.0,4,4,4
37,Bellinzona,4693-172-161,1,1.0,1.0,2,4,2.0,2.0,1.0,1.0,0.5,0.5,2. Runde,34,72.0,72.0,0.0,1.0,1,1,1
325,FC Aarau,4693-172-161,3,2.0,1.0,2,4,2.0,2.0,1.5,1.5,1.0,1.0,2. Runde,34,72.0,72.0,1.0,1.0,2,2,2
145,FC Lausanne-Sport,4693-172-161,3,5.0,1.0,2,3,1.5,1.5,2.5,2.5,1.0,1.0,2. Runde,34,54.0,54.0,4.0,3.0,4,4,4
253,FC Schaffhausen,4693-172-161,0,1.0,5.0,2,3,1.5,1.5,1.0,1.0,2.5,2.5,2. Runde,34,54.0,54.0,-4.0,-3.0,7,7,7
181,FC Stade-Lausanne-Ouchy,4693-172-161,3,2.0,1.0,2,3,1.5,1.5,1.5,1.5,1.5,1.5,2. Runde,34,54.0,54.0,1.0,0.0,6,6,6
1,FC Thun,4693-172-161,1,1.0,1.0,2,1,0.5,0.5,0.5,0.5,1.0,1.0,2. Runde,34,18.0,18.0,0.0,-1.0,9,9,9
217,FC Vaduz,4693-172-161,1,3.0,3.0,2,2,1.0,1.0,2.0,2.0,2.0,2.0,2. Runde,34,36.0,36.0,0.0,0.0,8,8,8
109,FC Wil 1900,4693-172-161,0,1.0,2.0,2,3,1.5,1.5,1.5,1.5,1.0,1.0,2. Runde,34,54.0,54.0,-1.0,1.0,5,5,5
73,Neuchâtel Xamax FCS,4693-172-161,0,1.0,2.0,2,0,0.0,0.0,0.5,0.5,2.0,2.0,2. Runde,34,0.0,0.0,-1.0,-3.0,10,10,10
289,Yverdon Sport FC,4693-172-161,1,3.0,3.0,2,4,2.0,2.0,2.5,2.5,2.0,2.0,2. Runde,34,72.0,72.0,0.0,1.0,3,3,3
38,Bellinzona,4693-172-162,0,1.0,4.0,3,4,1.3333333333333333,1.3333333333333333,1.0,1.0,1.6666666666666667,1.6666666666666667,3. Runde,33,48.0,48.0,-3.0,-2.0,7,7,7
326,FC Aarau,4693-172-162,0,1.0,2.0,3,4,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,3. Runde,33,48.0,48.0,-1.0,0.0,6,6,6
146,FC Lausanne-Sport,4693-172-162,3,2.0,1.0,3,6,2.0,2.0,2.3333333333333335,2.3333333333333335,1.0,1.0,3. Runde,33,72.0,72.0,1.0,4.0,2,2,2
254,FC Schaffhausen,4693-172-162,3,2.0,0.0,3,6,2.0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,3. Runde,33,72.0,72.0,2.0,-1.0,5,5,5
182,FC Stade-Lausanne-Ouchy,4693-172-162,3,4.0,1.0,3,6,2.0,2.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.3333333333333333,3. Runde,33,72.0,72.0,3.0,3.0,3,3,3
2,FC Thun,4693-172-162,0,1.0,3.0,3,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,3. Runde,33,12.0,12.0,-2.0,-3.0,9,9,9
218,FC Vaduz,4693-172-162,0,0.0,2.0,3,2,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,2.0,3. Runde,33,24.0,24.0,-2.0,-2.0,8,8,8
110,FC Wil 1900,4693-172-162,3,2.0,0.0,3,6,2.0,2.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,3. Runde,33,72.0,72.0,2.0,3.0,4,4,4
74,Neuchâtel Xamax FCS,4693-172-162,0,0.0,2.0,3,0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.0,3. Runde,33,0.0,0.0,-2.0,-5.0,10,10,10
290,Yverdon Sport FC,4693-172-162,3,3.0,1.0,3,7,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,1.6666666666666667,1.6666666666666667,3. Runde,33,84.0,84.0,2.0,3.0,1,1,1
39,Bellinzona,4693-172-163,3,3.0,2.0,4,7,1.75,1.75,1.5,1.5,1.75,1.75,4. Runde,32,63.0,63.0,1.0,-1.0,5,5,5
327,FC Aarau,4693-172-163,1,2.0,2.0,4,5,1.25,1.25,1.5,1.5,1.5,1.5,4. Runde,32,45.0,45.0,0.0,0.0,7,7,7
147,FC Lausanne-Sport,4693-172-163,1,0.0,0.0,4,7,1.75,1.75,1.75,1.75,0.75,0.75,4. Runde,32,63.0,63.0,0.0,4.0,3,3,3
255,FC Schaffhausen,4693-172-163,0,0.0,1.0,4,6,1.5,1.5,1.0,1.0,1.5,1.5,4. Runde,32,54.0,54.0,-1.0,-2.0,6,6,6
183,FC Stade-Lausanne-Ouchy,4693-172-163,1,0.0,0.0,4,7,1.75,1.75,1.75,1.75,1.0,1.0,4. Runde,32,63.0,63.0,0.0,3.0,4,4,4
3,FC Thun,4693-172-163,1,2.0,2.0,4,2,0.5,0.5,1.0,1.0,1.75,1.75,4. Runde,32,18.0,18.0,0.0,-3.0,8,8,8
219,FC Vaduz,4693-172-163,0,2.0,3.0,4,2,0.5,0.5,1.5,1.5,2.25,2.25,4. Runde,32,18.0,18.0,-1.0,-3.0,9,9,9
111,FC Wil 1900,4693-172-163,3,1.0,0.0,4,9,2.25,2.25,1.5,1.5,0.5,0.5,4. Runde,32,81.0,81.0,1.0,4.0,2,2,2
75,Neuchâtel Xamax FCS,4693-172-163,0,2.0,3.0,4,0,0.0,0.0,0.75,0.75,2.25,2.25,4. Runde,32,0.0,0.0,-1.0,-6.0,10,10,10
291,Yverdon Sport FC,4693-172-163,3,3.0,2.0,4,10,2.5,2.5,2.75,2.75,1.75,1.75,4. Runde,32,90.0,90.0,1.0,4.0,1,1,1
40,Bellinzona,4693-172-164,0,0.0,4.0,5,7,1.4,1.4,1.2,1.2,2.2,2.2,5. Runde,31,50.4,50.4,-4.0,-5.0,7,7,7
328,FC Aarau,4693-172-164,3,4.0,0.0,5,8,1.6,1.6,2.0,2.0,1.2,1.2,5. Runde,31,57.6,57.6,4.0,4.0,5,5,5
148,FC Lausanne-Sport,4693-172-164,3,1.0,0.0,5,10,2.0,2.0,1.6,1.6,0.6,0.6,5. Runde,31,72.0,72.0,1.0,5.0,2,2,2
256,FC Schaffhausen,4693-172-164,3,2.0,0.0,5,9,1.8,1.8,1.2,1.2,1.2,1.2,5. Runde,31,64.80000000000001,64.80000000000001,2.0,0.0,4,4,4
184,FC Stade-Lausanne-Ouchy,4693-172-164,0,0.0,2.0,5,7,1.4,1.4,1.4,1.4,1.2,1.2,5. Runde,31,50.4,50.4,-2.0,1.0,6,6,6
4,FC Thun,4693-172-164,3,4.0,2.0,5,5,1.0,1.0,1.6,1.6,1.8,1.8,5. Runde,31,36.0,36.0,2.0,-1.0,8,8,8
220,FC Vaduz,4693-172-164,0,2.0,4.0,5,2,0.4,0.4,1.6,1.6,2.6,2.6,5. Runde,31,14.4,14.4,-2.0,-5.0,9,9,9
112,FC Wil 1900,4693-172-164,3,3.0,1.0,5,12,2.4,2.4,1.8,1.8,0.6,0.6,5. Runde,31,86.39999999999999,86.39999999999999,2.0,6.0,1,1,1
76,Neuchâtel Xamax FCS,4693-172-164,0,0.0,1.0,5,0,0.0,0.0,0.6,0.6,2.0,2.0,5. Runde,31,0.0,0.0,-1.0,-7.0,10,10,10
292,Yverdon Sport FC,4693-172-164,0,1.0,3.0,5,10,2.0,2.0,2.4,2.4,2.0,2.0,5. Runde,31,72.0,72.0,-2.0,2.0,3,3,3
41,Bellinzona,4693-172-165,3,3.0,1.0,6,10,1.4,1.6666666666666667,1.6,1.5,2.4,2.0,6. Runde,30,52.0,60.0,2.0,-3.0,4,6,4
329,FC Aarau,4693-172-165,1,3.0,3.0,6,9,1.6,1.5,2.4,2.1666666666666665,1.6,1.5,6. Runde,30,57.0,54.0,0.0,4.0,5,4,5
149,FC Lausanne-Sport,4693-172-165,3,3.0,1.0,6,13,2.6,2.1666666666666665,2.2,1.8333333333333333,0.6,0.6666666666666666,6. Runde,30,91.0,78.0,2.0,7.0,1,1,1
257,FC Schaffhausen,4693-172-165,0,1.0,2.0,6,9,1.2,1.5,1.2,1.1666666666666667,1.6,1.3333333333333333,6. Runde,30,45.0,54.0,-1.0,-1.0,6,7,6
185,FC Stade-Lausanne-Ouchy,4693-172-165,1,3.0,3.0,6,8,1.6,1.3333333333333333,1.8,1.6666666666666667,1.4,1.5,6. Runde,30,56.0,48.0,0.0,1.0,7,5,7
5,FC Thun,4693-172-165,1,1.0,1.0,6,6,1.2,1.0,1.8,1.5,1.8,1.6666666666666667,6. Runde,30,42.0,36.0,0.0,-1.0,8,8,8
221,FC Vaduz,4693-172-165,0,1.0,3.0,6,2,0.2,0.3333333333333333,1.6,1.5,3.0,2.6666666666666665,6. Runde,30,8.0,12.0,-2.0,-7.0,9,9,9
113,FC Wil 1900,4693-172-165,1,1.0,1.0,6,13,2.0,2.1666666666666665,1.6,1.6666666666666667,0.8,0.6666666666666666,6. Runde,30,73.0,78.0,0.0,6.0,2,2,2
77,Neuchâtel Xamax FCS,4693-172-165,0,1.0,3.0,6,0,0.0,0.0,0.8,0.6666666666666666,2.2,2.1666666666666665,6. Runde,30,0.0,0.0,-2.0,-9.0,10,10,10
293,Yverdon Sport FC,4693-172-165,3,2.0,1.0,6,13,2.0,2.1666666666666665,2.4,2.3333333333333335,2.0,1.8333333333333333,6. Runde,30,73.0,78.0,1.0,3.0,3,3,3
42,Bellinzona,4693-172-166,3,1.0,0.0,7,13,1.8,1.8571428571428572,1.6,1.4285714285714286,2.2,1.7142857142857142,7. Runde,29,65.2,66.85714285714286,1.0,-2.0,4,4,4
330,FC Aarau,4693-172-166,3,2.0,1.0,7,12,1.6,1.7142857142857142,2.4,2.142857142857143,1.6,1.4285714285714286,7. Runde,29,58.400000000000006,61.71428571428571,1.0,5.0,5,5,5
150,FC Lausanne-Sport,4693-172-166,0,0.0,2.0,7,13,2.0,1.8571428571428572,1.2,1.5714285714285714,0.8,0.8571428571428571,7. Runde,29,71.0,66.85714285714286,-2.0,5.0,1,1,1
258,FC Schaffhausen,4693-172-166,1,1.0,1.0,7,10,1.4,1.4285714285714286,1.2,1.1428571428571428,0.8,1.2857142857142858,7. Runde,29,50.599999999999994,51.42857142857143,0.0,-1.0,7,8,7
186,FC Stade-Lausanne-Ouchy,4693-172-166,3,2.0,1.0,7,11,1.6,1.5714285714285714,1.8,1.7142857142857142,1.4,1.4285714285714286,7. Runde,29,57.400000000000006,56.57142857142857,1.0,2.0,6,6,6
6,FC Thun,4693-172-166,3,2.0,0.0,7,9,1.6,1.2857142857142858,2.0,1.5714285714285714,1.6,1.4285714285714286,7. Runde,29,55.400000000000006,46.28571428571429,2.0,1.0,8,7,8
222,FC Vaduz,4693-172-166,1,1.0,1.0,7,3,0.2,0.42857142857142855,1.2,1.4285714285714286,2.6,2.4285714285714284,7. Runde,29,8.8,15.428571428571427,0.0,-7.0,9,9,9
114,FC Wil 1900,4693-172-166,0,1.0,2.0,7,13,2.0,1.8571428571428572,1.6,1.5714285714285714,0.8,0.8571428571428571,7. Runde,29,71.0,66.85714285714286,-1.0,5.0,2,2,2
78,Neuchâtel Xamax FCS,4693-172-166,0,1.0,2.0,7,0,0.0,0.0,0.8,0.7142857142857143,2.2,2.142857142857143,7. Runde,29,0.0,0.0,-1.0,-10.0,10,10,10
294,Yverdon Sport FC,4693-172-166,0,0.0,1.0,7,13,1.8,1.8571428571428572,1.8,2.0,1.6,1.7142857142857142,7. Runde,29,65.2,66.85714285714286,-1.0,2.0,3,3,3
43,Bellinzona,4693-172-167,0,1.0,5.0,8,13,1.8,1.625,1.6,1.375,2.4,2.125,8. Runde,28,63.4,58.5,-4.0,-6.0,5,4,5
331,FC Aarau,4693-172-167,3,2.0,0.0,8,15,2.2,1.875,2.6,2.125,1.2,1.25,8. Runde,28,76.60000000000001,67.5,2.0,7.0,3,1,3
151,FC Lausanne-Sport,4693-172-167,3,3.0,2.0,8,16,2.0,2.0,1.4,1.75,1.0,1.0,8. Runde,28,72.0,72.0,1.0,6.0,2,3,2
259,FC Schaffhausen,4693-172-167,0,0.0,2.0,8,10,0.8,1.25,0.8,1.0,1.2,1.375,8. Runde,28,32.400000000000006,45.0,-2.0,-3.0,8,8,8
187,FC Stade-Lausanne-Ouchy,4693-172-167,1,2.0,2.0,8,12,1.2,1.5,1.4,1.75,1.6,1.5,8. Runde,28,45.6,54.0,0.0,2.0,6,7,6
7,FC Thun,4693-172-167,1,2.0,2.0,8,10,1.8,1.25,2.2,1.625,1.4,1.5,8. Runde,28,60.4,45.0,0.0,1.0,7,5,7
223,FC Vaduz,4693-172-167,1,1.0,1.0,8,4,0.4,0.5,1.4,1.375,2.4,2.25,8. Runde,28,15.200000000000001,18.0,0.0,-7.0,9,9,9
115,FC Wil 1900,4693-172-167,3,5.0,1.0,8,16,2.0,2.0,2.2,2.0,1.0,0.875,8. Runde,28,72.0,72.0,4.0,9.0,1,2,1
79,Neuchâtel Xamax FCS,4693-172-167,1,1.0,1.0,8,1,0.2,0.125,1.0,0.75,2.0,2.0,8. Runde,28,6.6000000000000005,4.5,0.0,-10.0,10,10,10
295,Yverdon Sport FC,4693-172-167,0,2.0,3.0,8,13,1.2,1.625,1.6,2.0,2.0,1.875,8. Runde,28,46.6,58.5,-1.0,1.0,4,6,4
44,Bellinzona,4693-172-168,0,1.0,3.0,9,13,1.2,1.4444444444444444,1.2,1.3333333333333333,2.6,2.2222222222222223,9. Runde,27,45.4,52.0,-2.0,-8.0,8,7,8
332,FC Aarau,4693-172-168,1,2.0,2.0,9,16,2.2,1.7777777777777777,2.6,2.111111111111111,1.2,1.3333333333333333,9. Runde,27,75.4,64.0,0.0,7.0,2,2,2
152,FC Lausanne-Sport,4693-172-168,3,4.0,0.0,9,19,2.4,2.111111111111111,2.2,2.0,1.0,0.8888888888888888,9. Runde,27,83.8,76.0,4.0,10.0,1,1,1
260,FC Schaffhausen,4693-172-168,3,3.0,1.0,9,13,1.4,1.4444444444444444,1.4,1.2222222222222223,1.2,1.3333333333333333,9. Runde,27,50.8,52.0,2.0,-1.0,7,6,7
188,FC Stade-Lausanne-Ouchy,4693-172-168,3,2.0,0.0,9,15,1.6,1.6666666666666667,1.8,1.7777777777777777,1.6,1.3333333333333333,9. Runde,27,58.2,60.0,2.0,4.0,4,4,4
8,FC Thun,4693-172-168,3,2.0,1.0,9,13,2.2,1.4444444444444444,2.2,1.6666666666666667,1.2,1.4444444444444444,9. Runde,27,72.4,52.0,1.0,2.0,6,3,6
224,FC Vaduz,4693-172-168,0,0.0,2.0,9,4,0.4,0.4444444444444444,1.0,1.2222222222222223,2.2,2.2222222222222223,9. Runde,27,14.8,16.0,-2.0,-9.0,9,9,9
116,FC Wil 1900,4693-172-168,0,0.0,4.0,9,16,1.4,1.7777777777777777,2.0,1.7777777777777777,1.8,1.2222222222222223,9. Runde,27,53.8,64.0,-4.0,5.0,3,5,3
80,Neuchâtel Xamax FCS,4693-172-168,0,1.0,2.0,9,1,0.2,0.1111111111111111,0.8,0.7777777777777778,1.8,2.0,9. Runde,27,6.4,4.0,-1.0,-11.0,10,10,10
296,Yverdon Sport FC,4693-172-168,1,2.0,2.0,9,14,0.8,1.5555555555555556,1.4,2.0,2.0,1.8888888888888888,9. Runde,27,35.6,56.0,0.0,1.0,5,8,5
45,Bellinzona,4693-172-169,0,0.0,4.0,10,13,1.2,1.3,1.2,1.2,2.6,2.4,10. Runde,26,44.2,46.800000000000004,-4.0,-12.0,8,6,8
333,FC Aarau,4693-172-169,1,2.0,2.0,10,17,1.8,1.7,2.2,2.1,1.6,1.4,10. Runde,26,63.800000000000004,61.199999999999996,0.0,7.0,4,3,4
153,FC Lausanne-Sport,4693-172-169,0,1.0,2.0,10,19,1.8,1.9,2.2,1.9,1.4,1.0,10. Runde,26,65.80000000000001,68.4,-1.0,9.0,1,2,1
261,FC Schaffhausen,4693-172-169,1,2.0,2.0,10,14,1.0,1.4,1.4,1.3,1.6,1.4,10. Runde,26,40.0,50.4,0.0,-1.0,6,7,6
